,mean_GAPDH,pocket_depth,bleeding_on_probing,number_of_missing_teeth
mean_GAPDH,1.0,-0.8144497122924282,-0.7547603509933231,-0.2378135899731646
pocket_depth,-0.8144497122924282,1.0,0.8161314842392077,0.3341378950837212
bleeding_on_probing,-0.7547603509933231,0.8161314842392077,1.0,0.23262041745887893
number_of_missing_teeth,-0.2378135899731646,0.3341378950837212,0.23262041745887893,1.0
