GROUP,mean,std,median,min,max
G,35.90518518444444,2.0177550690663097,36.741666665,31.06,37.73
P,31.387870370555554,0.37307657113376114,31.446666665000002,30.47666667,32.11333333
S,36.492222222222225,0.46906052677429344,36.68,35.58,37.06
