Classifier,Accuracy,Sensitivity,Specificity
SVC,0.6818181818181818,0.6818181818181818,0.8428571428571429
RandomForestClassifier,0.7727272727272727,0.7727272727272727,0.8873015873015874
GradientBoostingClassifier,0.5454545454545454,0.5454545454545454,0.7761904761904761
MLPClassifier,0.6818181818181818,0.6818181818181818,0.8428571428571429
LogisticRegression,0.6818181818181818,0.6818181818181818,0.8428571428571429
LinearDiscriminantAnalysis,0.7272727272727273,0.7272727272727273,0.865079365079365
