AUC,Optimal Cutoff,Sensitivity,Specificity,Accuracy,PR AUC,miRNA
1.0,0.6861631997637172,1.0,1.0,1.0,1.0,mean_mir146a
1.0,0.6501146825403247,1.0,1.0,1.0,0.9999999999999998,mean_mir146b
1.0,0.7440809852252422,1.0,1.0,1.0,0.9999999999999998,mean_mir155
1.0,0.6675479516284691,1.0,1.0,1.0,0.9999999999999998,mean_mir203
1.0,0.6450461174486489,1.0,1.0,1.0,0.9999999999999998,mean_mir223
1.0,0.6623407374713335,1.0,1.0,1.0,0.9999999999999998,mean_mir381p
