Feature,Importance
mean_mir146b,0.20862911039502055
mean_mir203,0.18503395028890568
mean_mir223,0.16883277634747745
mean_mir155,0.15329584919904554
mean_mir146a,0.14484325629441133
mean_mir381p,0.13936505747513953
