GROUP
G
S
P
P
S
G
G
G
S
G
S
S
G
P
G
S
G
S
S
P
P
S
S
P
G
S
S
G
G
P
S
S
S
G
G
S
G
S
P
P
P
G
P
S
P
P
S
S
P
G
P
P
P
S
P
P
G
P
G
S
G
G
G
P
G
S
G
G
P
S
P
P
P
S
G
P
S
P
G
S
S
G
G
P
G
P
